Part Instance,Element ID,Type,Int. Pt.,S: S11
SQUAREPRISM5U-1,111,S8R,1,-16.2368E+06
SQUAREPRISM5U-1,111,S8R,2,-16.0376E+06
SQUAREPRISM5U-1,111,S8R,3,-20.4397E+06
SQUAREPRISM5U-1,111,S8R,4,-17.316E+06
SQUAREPRISM5U-1,112,S8R,1,-16.4782E+06
SQUAREPRISM5U-1,112,S8R,2,-16.5619E+06
SQUAREPRISM5U-1,112,S8R,3,-17.5556E+06
SQUAREPRISM5U-1,112,S8R,4,-18.5102E+06
SQUAREPRISM5U-1,113,S8R,1,-16.5836E+06
SQUAREPRISM5U-1,113,S8R,2,-16.5836E+06
SQUAREPRISM5U-1,113,S8R,3,-18.9776E+06
SQUAREPRISM5U-1,113,S8R,4,-18.9776E+06
SQUAREPRISM5U-1,114,S8R,1,-16.5619E+06
SQUAREPRISM5U-1,114,S8R,2,-16.4782E+06
SQUAREPRISM5U-1,114,S8R,3,-18.5102E+06
SQUAREPRISM5U-1,114,S8R,4,-17.5556E+06
SQUAREPRISM5U-1,115,S8R,1,-16.0376E+06
SQUAREPRISM5U-1,115,S8R,2,-16.2368E+06
SQUAREPRISM5U-1,115,S8R,3,-17.316E+06
SQUAREPRISM5U-1,115,S8R,4,-20.4397E+06
SQUAREPRISM5U-1,71,S8R,1,-1.07049E+06
SQUAREPRISM5U-1,71,S8R,2,-2.2592E+06
SQUAREPRISM5U-1,71,S8R,3,-4.53509E+06
SQUAREPRISM5U-1,71,S8R,4,-2.69329E+06
SQUAREPRISM5U-1,72,S8R,1,-2.35575E+06
SQUAREPRISM5U-1,72,S8R,2,-2.16922E+06
SQUAREPRISM5U-1,72,S8R,3,-2.53227E+06
SQUAREPRISM5U-1,72,S8R,4,-2.13625E+06
SQUAREPRISM5U-1,73,S8R,1,-1.57775E+06
SQUAREPRISM5U-1,73,S8R,2,-739.871E+03
SQUAREPRISM5U-1,73,S8R,3,-1.87937E+06
SQUAREPRISM5U-1,73,S8R,4,-1.59301E+06
SQUAREPRISM5U-1,75,S8R,1,689.606E+03
SQUAREPRISM5U-1,75,S8R,2,650.645E+03
SQUAREPRISM5U-1,75,S8R,3,-441.709E+03
SQUAREPRISM5U-1,75,S8R,4,918.255E+03
SQUAREPRISM5U-1,191,S8R,1,4.10768E+06
SQUAREPRISM5U-1,191,S8R,2,4.04121E+06
SQUAREPRISM5U-1,191,S8R,3,5.88523E+06
SQUAREPRISM5U-1,191,S8R,4,5.19072E+06
SQUAREPRISM5U-1,192,S8R,1,4.37135E+06
SQUAREPRISM5U-1,192,S8R,2,4.69311E+06
SQUAREPRISM5U-1,192,S8R,3,5.85768E+06
SQUAREPRISM5U-1,192,S8R,4,6.84589E+06
SQUAREPRISM5U-1,193,S8R,1,4.83738E+06
SQUAREPRISM5U-1,193,S8R,2,4.83738E+06
SQUAREPRISM5U-1,193,S8R,3,7.31865E+06
SQUAREPRISM5U-1,193,S8R,4,7.31865E+06
SQUAREPRISM5U-1,194,S8R,1,4.69311E+06
SQUAREPRISM5U-1,194,S8R,2,4.37135E+06
SQUAREPRISM5U-1,194,S8R,3,6.84589E+06
SQUAREPRISM5U-1,194,S8R,4,5.85768E+06
SQUAREPRISM5U-1,195,S8R,1,4.04121E+06
SQUAREPRISM5U-1,195,S8R,2,4.10768E+06
SQUAREPRISM5U-1,195,S8R,3,5.19072E+06
SQUAREPRISM5U-1,195,S8R,4,5.88523E+06
SQUAREPRISM5U-1,151,S8R,1,650.645E+03
SQUAREPRISM5U-1,151,S8R,2,689.606E+03
SQUAREPRISM5U-1,151,S8R,3,918.255E+03
SQUAREPRISM5U-1,151,S8R,4,-441.709E+03
SQUAREPRISM5U-1,152,S8R,1,521.36E+03
SQUAREPRISM5U-1,152,S8R,2,-177.654E+03
SQUAREPRISM5U-1,152,S8R,3,-827.37E+03
SQUAREPRISM5U-1,152,S8R,4,-1.37067E+06
SQUAREPRISM5U-1,153,S8R,1,-739.871E+03
SQUAREPRISM5U-1,153,S8R,2,-1.57775E+06
SQUAREPRISM5U-1,153,S8R,3,-1.59301E+06
SQUAREPRISM5U-1,153,S8R,4,-1.87937E+06
SQUAREPRISM5U-1,154,S8R,1,-2.16922E+06
SQUAREPRISM5U-1,154,S8R,2,-2.35575E+06
SQUAREPRISM5U-1,154,S8R,3,-2.13625E+06
SQUAREPRISM5U-1,154,S8R,4,-2.53227E+06
SQUAREPRISM5U-1,155,S8R,1,-2.2592E+06
SQUAREPRISM5U-1,155,S8R,2,-1.07049E+06
SQUAREPRISM5U-1,155,S8R,3,-2.69329E+06
SQUAREPRISM5U-1,155,S8R,4,-4.53509E+06